authors,first_name,last_name,title,description,rating,review,status,began_date,completed_date,tags,notes,groups,copies,added_date,publisher,publish_date,pages,asin,isbn10,isbn13
"Robert Hültner",Robert,Hültner,"Walching: Roman (Inspektor Kajetan, Band 2)",,,,,,,,,,,2016-01-06,"btb Verlag",1997-10-01,192,3442721415,3442721415,9783442721412
"Corinne Maier",Corinne,Maier,"Die Entdeckung der Faulheit: Von der Kunst, bei der Arbeit möglichst wenig zu tun","Neuwertiges Buch aus Nachlass, Rauchfreier Haushalt und Staubfrei, 5.Auflage aus dem Jahre 2005, Isbn: 3442301130 Corinne Maier Die Entdeckung der Faulheit: Von der Kunst, bei der Arbeit möglichst wenig zu tun, Versand per Büchersendung von der Deutschen Post Luftgepolstert und in einem neuen Karton, Käufer/in haben das Recht den Artikel innerhalb 14 Tage zurückgegeben und tragen dabei die Versandkosten, Kein Versand an Packstationen, Lagerhalterungsnummer K.15*",,,,,,,,,,2016-01-06,"Goldmann Verlag (HC)",2005-03-17,160,3442301130,3442301130,9783442301133
"Henrike Heiland",Henrike,Heiland,"Späte Rache: Kriminalroman (Allgemeine Reihe. Bastei Lübbe Taschenbücher)",,,,,,,,,,,2016-01-06,"Bastei Lübbe (Bastei Lübbe Taschenbuch)",2006-05-16,304,340415505X,340415505X,9783404155057
"Michael Tolkin",Michael,Tolkin,"Player, The","ISBN: 3442420644, Roman, broschiert, Goldmann-verlag 1992, 254 Seiten, Kanten etwas bestossen, innen guter Zustand, Papier altersbedingt etwas nachgedunkelt, als Remittende gezeichnet",,,,,,,,,,2016-01-06,"Goldmann Wilhelm GmbH",1996-07-01,254,3442420644,3442420644,9783442420643
"Stephen King",Stephen,King,"Jahreszeiten, Frühling und Sommer",,,,,,,,,,,2016-01-06,"Bastei Lübbe",1992-02-01,,3404131150,3404131150,9783404131150
"Thomas Grasberger",Thomas,Grasberger,"Gebrauchsanweisung für München","Gebrauchsanweisung für München.",,,,,,,,,,2016-01-06,"Piper Taschenbuch",2002-08-01,224,349227501X,349227501X,9783492275019
"Herman Brusselmans",Herman,Brusselmans,"Generation Nix oder Zigarettenasche im Gefrierfach"," Es wird wohl Markstrategie gewesen sein, warum dieser Roman des Belgiers im Deutschen das ach so abgedroschene Wort Generation im Titel trägt -­ das Original dieses schon 1995 erschienenen Romans heißt schlicht und einfach Frauen mit IQ.  Von Nichts handelt der Roman weniger als von Frauen mit IQ, und das wiederum mag für den Zynismus von Herman Brusselmans sprechen. Vielleicht heißt deshalb auch der Held des Buches so wie er. Denn jener Herman Brusselmans, der hier aus seinem Leben erzählt, ist eigentlich Berufszyniker, obwohl er seine Gin-Tonics als Schlagzeuger einer erfolgreichen Popband mit dem pynchonesken Namen Foaming Vomit verdient.  Nicht, daß Generation Nix deswegen ein Buch über das Lebensgefühl einer Band Mitte der 90er Jahre wäre. Nein, die Band interessiert Herman genausowenig wie die Musik. Die Aufnahmen machen sowieso viel bessere Studiomusiker. Er und die Bandkumpels sind nur Kleiderständer mit Instrumenten, die Klamotten kommen von einem Designerlabel.  Viel lieber als in der Studiobar sitzt Herman mit schönen Frauen in teuren Cafés und erzählt ihnen, daß Ägypten eine Insel sei und und der Mensch bei 180 Grad schmilzt. Die Mädchen heißen Ilse oder Eva, kriegen Geld von zu Hause, fahren alle Karmann Ghias und verbreiten diesen Schwachsinn als Allgemeinwissen.  Dann trifft Herman auf Judy. Die ist anders, ihr kann er sowas nicht erzählen. Prompt verliebt er sich und hat ein Problem: ""Auf der Suche nach einem neuen Gesprächsthema fällt mir auf, daß ich im Prinzip ­- verliebt oder nicht ­- sehr wenig zu sagen habe"".  Womit auch das Problem des wahren Brusselmans getroffen wäre. Die Kunst der ins Sprachlose führenden Dialoge, beherrscht er meisterlich. Doch auf Dauer wirken die Kombinationen der Storyelemente Band, Bar oder Herman Privat um das Thema des Aneinandervorbeiredens, des Mißverstehens, der enttäuschten Zweisamkeit ermüdend. Alles bleibt, wie es ist. Letztendlich fehlt es an Mut, dem Buch und seinem Erzähler: ""Ich unterbreche die Verbindung, starre ängstlich in die stille Leere und bleibe sitzen"". ­-Nikolaus Stemmer",,,,,,,,,,2016-01-06,"Ullstein Tb",1999-01-01,238,3548312209,3548312209,9783548312200
"Petra Hammesfahr",Petra,Hammesfahr,"Das Geheimnis der Puppe","Etwas stärkere Gebrauchsspuren;",,,,,,,,,,2016-01-06,rororo,2000-11-01,320,349922884X,349922884X,9783499228841
"William Golding",William,Golding,"Das Feuer der Finsternis. Roman.",,,,,,,,,,,2016-01-06,"Goldmann Wilhelm GmbH",1993-01-01,319,3442092558,3442092558,9783442092550
"Norbert Horst",Norbert,Horst,Todesmuster,"Horst, Norbert: Todesmuster. Roman. 3. Auflage. München, Goldmann 2005. Kl. 8°. 285 Seiten. Kartoniert mit farbiger Einbandzeichnung. Sehr gut erhalten. (= Goldmann ; Band 45912 =)",,,,,,,,,,2016-01-06,Goldmann,2005-07-01,285,3442459125,3442459125,9783442459124
"Stephen King",Stephen,King,"Jahreszeiten. Herbst und Winter.","Jahreszeiten Herbst und Winter, Stephen King, Taschenbuch",,,,,,,,,,2016-01-06,"Luebbe Verlagsgruppe",1991-11-01,,3404131142,3404131142,9783404131143
,,,"Tatort Bayern: Kriminalstorys",""" Fünfundzwanzig Autorinnen und Autoren ziehen eine Blutspur durch Bayern - von wegen weiß-blaue Bierzelt-Seligkeit.""
"" Hier haben sich endlich kriminell gute Autoren zusammengetan, die das Idyll auf den Prüfstand stellen und herausfinden, dass gerade das Isyll die Mutter allen Verbrechens ist : Bad Tölz ist überall! "" (Aus dem Vorwort von Ottfried Fischer)",,,,,,,,,,2016-01-06,GRAFIT,2005-04-01,252,3894252995,3894252995,9783894252991
