authors,first_name,last_name,title,description,rating,review,status,began_date,completed_date,tags,notes,groups,copies,added_date,publisher,publish_date,pages,asin,isbn10,isbn13
"Don DeLillo",Don,DeLillo,"Falling Man","There is September 11 and then there are the days after, and finally the years. Falling Man is a magnificent, essential novel about the event that defines turn-of-the-century America. It begins in the smoke and ash of the burning towers and tracks the aftermath of this global tremor in the intimate lives of a few people. First there is Keith, walking out of the rubble into a life that he'd always imagined belonged to everyone but him. Then Lianne, his es-tranged wife, memory-haunted, trying to reconcile two versions of the same shadowy man. And their small son Justin, standing at the window, scanning the sky for more planes. These are lives choreographed by loss, grief and the enormous force of history. Brave and brilliant, Falling Man traces the way the events of September 11 have reconfigured our emotional landscape, our memory and our perception of the world. It is cathartic, beautiful, heartbreaking.",,,,,,,,,,2016-01-06,"Simon and Schuster",2007-05-15,256,,1416562079,9781416562078
"Denis Johnson",Denis,Johnson,"Train Dreams: A Novella","Denis Johnson's Train Dreams is an epic in miniature, one of his most evocative and poignant fictions. Robert Grainer is a day laborer in the American West at the start of the twentieth century - an ordinary man in extraordinary times. Buffeted by the loss of his family, Grainer struggles to make sense of this strange new world. As his story unfolds, we witness both his shocking personal defeats and the radical changes that transform America in his lifetime. Suffused with the history and landscapes of the American West - its otherworldly flora and fauna, its rugged loggers and bridge builders - the new novella by the National Book Award-winning author of Tree of Smoke captures the disappearance of a distinctly American way of life.",,,,,,,,,,2016-01-06,"Farrar Straus Giroux",2011-08-30,,B007A4FF36,0374281149,9780374281144
"Lonely Planet",Lonely,Planet,"Lonely Planet: Mexico","Discover Mexico. Find your inner archaeologist among the ancient Maya temples of jungle-covered Palenque. Breathe in the crisp air as you ride the railroad through the spectacular Copper Canyon. Cheer on the masked 'good guys' in one of Mexico City's raucous lucha libre (wrestling) bouts. Relax beside the azure Caribbean waters as you relish doing nothing in Playa del Carmen. In This Guide: Fourteen authors, 525 days of in-country research, 185 detailed maps. Content updated daily - visit lonelyplanet.com for up-to-the-minute reviews, updates and traveler insights.",,,,,,,,,,2016-01-06,"Lonely Planet",2008-01-01,1056,,1741048044,9781741048049
"Klaus Scherer",Klaus,Scherer,"Am Ende der Eiszeit: Die Arktis im Wandel",,,,,,,,,,,2016-01-06,Piper,2013-11-12,288,3492056180,3492056180,9783492056182
"Lonely Planet",Lonely,Planet,"Lonely Planet: Vietnam",Paperback,,,,,,,,,,2016-01-06,"Lonely Planet Publications Ltd",2012-02-01,,B007NBEXGG,1741797152,9781741797152
,,,"Armut Anthologie: Klivuskante Sonderausgabe Nr. 1",,,,,,,,,,,2016-01-06,"Witta, Bernd",2006-12-31,148,3939334065,3939334065,9783939334064
"Carmen R. de Königbauer,Harda Kuwer",Carmen,Königbauer,"Spanisch in 30 Tagen.",,,,,,,,,,,2016-01-06,Langenscheidt,2001-05-01,288,3581670542,3581670542,9783581670541
,,,"Metzler Lexikon literarischer Symbole",,,,,,,,,,,2016-01-06,"Metzler, J B",2008-12-08,469,3476021319,3476021319,9783476021311
"Peter Straub",Peter,Straub,"Ghost Story","Questions arise concerning the connections between a strangely detached young girl's captivity in a seedy Florida motel, a death that occurs at a party for a visiting actress, and a young California instructor's obsession with one of his students",,,,,,,,,,2016-01-06,"Simon and Schuster",1989-09-01,567,,0671685635,9780671685638
"Rosa Kohlheim",Rosa,Kohlheim,"Duden Taschenbücher, Bd.4, Lexikon der Vornamen",,,,,,,,,,,2016-01-06,"Bibliographisches Institut, Mannheim",2007-07-01,336,341104943X,341104943X,9783411049431
"Klaus Wolfsperger,Annette Miehle-Wolfsperger",Klaus,Wolfsperger,"Teneriffa: Die schönsten Küsten- und Bergwanderungen - 80 Touren. Mit GPS-Tracks",,,,,,,,,,,2016-01-06,"Bergverlag Rother",2014-11-04,264,3763340165,3763340165,9783763340163
"DAVID BORGENICHT JOSHUA PIVEN",DAVID,PIVEN,"WORST-CASE SCENARIO SURVIVAL HANDBOOK, THE",,,,,,,,,,,2016-01-06,"CHRONICLE BOOKS",1999-01-01,,B000977ULQ,0811825558,9780811825559
"Joyce Carol Oates,Elaine Showalter",Joyce,Oates,Wonderland,"A traumatized Jesse Vogel's search for the key to his shattered identity takes him through endless mazes in his youth and manhood, from rural Lockport, New York, to his successful career as a Chicago neurosurgeon, to his battle to save his own daughter from the ravages of the drug-laden counter-culture. Reprint. 15,000 first printing.",,,,,,,,,,2016-01-06,"Random House Digital, Inc.",2006-09-01,483,,081297655X,9780812976557
"Jean-Claude Carriere",Jean-Claude,Carriere,"Mit anderen Worten: Ein erotischer Sprachführer",,,,,,,,,,,2016-01-06,"Alexander Verlag",2008-03-11,196,3895811858,3895811858,9783895811852
"Lonely Planet",Lonely,Planet,"Lonely Planet: New York City","Native New Yorker Gorry highlights quirky, off-the-beaten path places for travelers and locals alike. He includes walking tours, advice on hotels and hostels, plus a section on the impact of Sept. 11th on the city. Photos. 20 maps.",,,,,,,,,,2016-01-06,,2002-01-01,352,,1740593057,9781740593052
"Jonas Jonasson",Jonas,Jonasson,"Der Hundertjährige, der aus dem Fenster stieg und verschwand: Roman","Siehe andere Angebote dieses Titels",,,,,,,,,,2016-01-06,"carl's books",2011-08-29,416,3570585018,3570585018,9783570585016
"Christiane Rösinger",Christiane,Rösinger,"Liebe wird oft überbewertet: Ein Sachbuch",,,,,,,,,,,2016-01-06,FISCHER,2012-03-02,208,3100929462,3100929462,9783100929464
,,,"Polyglott FlexiKarten, Malta",,,,,,,,,,,2016-01-06,Polyglott,1998-01-01,,3493615175,3493615175,9783493615173
Colibri,Colibri,Colibri,"Wien Reiseführer",,,,,,,,,,,2016-01-06,Compact,2001-01-01,96,3817444435,3817444435,9783817444434
"Larry Beinhart",Larry,Beinhart,"Crime: Kriminalromane und Thriller schreiben",,,,,,,,,,,2016-01-06,Autorenhaus,2015-03-25,235,393290950X,393290950X,9783932909504
"Martina Miethig",Martina,Miethig,"Vietnam - Seine Städte und Regionen",,,,,,,,,,,2016-01-06,KOMET,2007-09-01,640,3898366553,3898366553,9783898366557
,,,"Paris Review 210 - Fall 2015, The",,,,,,,,,,,2016-01-06,,,,,,
,,,"Paris Review 208 - Spring 2014, The",,,,,,,,,,,2016-01-06,,,,,,
,,,"Merian: Krakau",,,,,,,,,,,2016-01-06,,,,,,
"Francis Schiller",Francis,Schiller,Fernsehland,"Eine fast wahre Geschichte. Hbg. (R&B bei Zweitausendeins). 1999. geb. 175 S.",,,,,,,,,,2016-01-06,"Rogner & Bernhard",1999-01-01,174,3807701990,3807701990,9783807701998
"Gabriel García Márquez",Gabriel,Márquez,"Die böse Stunde: Roman",,,,,,,,,,,2016-01-06,"FISCHER Taschenbuch",2004-04-01,240,3596162602,3596162602,9783596162604
